invoice_no,customer_id,category,quantity,price,invoice_date,shopping_mall,gender,age,payment_method
I296025,C120164,Shoes,3,1800.51,21-04-2022,Kanyon,Female,41.0,Credit Card
I117291,C134449,Books,5,75.75,09-12-2022,Zorlu Center,Male,46.0,Credit Card
I267193,C317818,Cosmetics,3,121.98,12-01-2023,Mall of Istanbul,Female,19.0,Credit Card
I205366,C241642,Clothing,4,1200.32,07-11-2022,Zorlu Center,Female,43.0,Debit Card
I269690,C126436,Cosmetics,3,121.98,07-02-2022,Zorlu Center,Male,18.0,Debit Card
I304265,C653385,Books,5,75.75,13-06-2021,Forum Istanbul,Female,22.0,Debit Card
I246562,C227070,Cosmetics,5,203.3,23-08-2021,Emaar Square Mall,Female,61.0,Cash
I202367,C317478,Books,3,45.45,24-02-2023,Istinye Park,Female,41.0,Cash
I664787,C237330,Cosmetics,2,81.32,12-01-2023,Istinye Park,Female,53.0,Credit Card
I160777,C626042,Technology,4,4200.0,22-02-2022,Metrocity,Female,43.0,Cash
I137794,C133687,Food & Beverage,3,15.69,12-03-2021,Viaport Outlet,Female,45.0,Debit Card
I148377,C841663,Clothing,1,300.08,02-01-2022,Istinye Park,Female,29.0,Cash
I258195,C213742,Toys,2,71.68,26-11-2021,Kanyon,Male,43.0,Cash
I300213,C962515,Clothing,4,1200.32,21-04-2021,Kanyon,Female,19.0,Credit Card
I263803,C112279,Food & Beverage,3,15.69,23-06-2021,Kanyon,Female,67.0,Cash
I335713,C158837,Books,4,60.6,14-12-2021,Kanyon,Female,36.0,Cash
I133061,C336576,Clothing,5,1500.4,09-06-2022,Mall of Istanbul,Male,64.0,Credit Card
I207205,C716161,Clothing,1,300.08,26-11-2021,Kanyon,Female,33.0,Debit Card
I209289,C439382,Clothing,4,1200.32,05-02-2021,Kanyon,Female,33.0,Credit Card
I157285,C123427,Clothing,4,1200.32,06-03-2022,Mall of Istanbul,Male,66.0,Cash
I218590,C224743,Cosmetics,4,162.64,09-05-2022,Metropol AVM,Female,29.0,Debit Card
I181109,C119549,Toys,3,107.52,17-10-2022,Mall of Istanbul,Male,22.0,Cash
I221715,C187266,Food & Beverage,3,15.69,22-01-2022,Cevahir AVM,Female,63.0,Cash
I204979,C173084,Souvenir,5,58.65,14-03-2021,Istinye Park,Female,24.0,Debit Card
I115146,C126956,Cosmetics,5,203.3,27-04-2022,Metrocity,Female,24.0,Cash
I883721,C236859,Technology,5,5250.0,19-11-2021,Mall of Istanbul,Female,44.0,Credit Card
I402376,C309926,Shoes,5,3000.85,10-09-2022,Forum Istanbul,Male,34.0,Cash
I251356,C493252,Cosmetics,4,162.64,04-09-2021,Kanyon,Female,47.0,Cash
I292239,C109871,Food & Beverage,5,26.15,21-08-2022,Mall of Istanbul,Male,38.0,Cash
I276526,C136117,Shoes,5,3000.85,02-10-2021,Emaar Square Mall,Female,57.0,Debit Card
I260525,C258404,Toys,3,107.52,07-01-2023,Emaar Square Mall,Male,67.0,Cash
I870944,C169749,Souvenir,3,35.19,08-06-2021,Cevahir AVM,Male,41.0,Credit Card
I739573,C199947,Clothing,5,1500.4,17-04-2021,Kanyon,Female,40.0,Debit Card
I115870,C135790,Shoes,4,2400.68,04-09-2021,Metrocity,Female,69.0,Cash
I190444,C606418,Food & Beverage,5,26.15,20-07-2022,Mall of Istanbul,Female,47.0,Cash
I309552,C111611,Food & Beverage,4,20.92,14-07-2021,Istinye Park,Female,53.0,Credit Card
I306076,C679476,Toys,2,71.68,01-11-2022,Emaar Square Mall,Male,40.0,Cash
I321683,C542025,Cosmetics,4,162.64,06-01-2023,Metrocity,Male,60.0,Credit Card
I151332,C168491,Souvenir,2,23.46,25-03-2021,Kanyon,Male,30.0,Cash
I340014,C169650,Clothing,2,600.16,08-09-2022,Istinye Park,Female,66.0,Credit Card
I249424,C158160,Food & Beverage,1,5.23,18-02-2022,Mall of Istanbul,Male,22.0,Cash
I227716,C552345,Food & Beverage,2,10.46,22-04-2021,Kanyon,Male,53.0,Cash
I140663,C218383,Clothing,5,1500.4,15-10-2022,Zorlu Center,Female,52.0,Cash
I253242,C309438,Shoes,5,3000.85,07-04-2022,Mall of Istanbul,Male,26.0,Cash
I108359,C253905,Food & Beverage,1,5.23,07-06-2022,Mall of Istanbul,Male,66.0,Cash
I195567,C992677,Clothing,4,1200.32,22-01-2023,Metropol AVM,Male,65.0,Debit Card
I289643,C584700,Technology,2,2100.0,22-08-2022,Kanyon,Female,43.0,Cash
I722319,C157070,Toys,1,35.84,03-10-2021,Kanyon,Female,,Debit Card
I317105,C177975,Souvenir,5,58.65,29-07-2021,Kanyon,Female,,Debit Card
I215721,C830576,Cosmetics,2,81.32,16-12-2022,Metrocity,Female,,Debit Card
I154469,C807389,Toys,3,107.52,03-06-2021,Mall of Istanbul,Female,,Debit Card
I172458,C277842,Clothing,2,600.16,17-12-2021,Cevahir AVM,Female,,Debit Card
I297270,C183011,Clothing,5,1500.4,31-12-2022,Metropol AVM,Male,62.0,Credit Card
I153930,C567813,Food & Beverage,3,15.69,09-08-2022,Forum Istanbul,Male,39.0,Cash
I282854,C282974,Clothing,3,900.24,31-07-2022,Kanyon,Female,33.0,Cash
I869144,C181972,Food & Beverage,4,20.92,04-05-2021,Mall of Istanbul,Female,26.0,Debit Card
I283443,C189493,Technology,3,3150.0,25-05-2022,Viaport Outlet,Male,43.0,Credit Card
I193271,C242748,Food & Beverage,3,15.69,23-12-2022,Kanyon,Female,40.0,Debit Card
I985478,C324683,Clothing,4,1200.32,24-01-2023,Kanyon,Male,55.0,Credit Card
I200392,C307921,Clothing,5,1500.4,14-09-2021,Viaport Outlet,Female,24.0,Credit Card
I256691,C152549,Cosmetics,1,40.66,04-02-2022,Metrocity,Male,24.0,Cash
I796162,C111832,Food & Beverage,5,26.15,06-01-2022,Metrocity,Female,30.0,Credit Card
I224371,C204174,Clothing,5,1500.4,01-02-2022,Mall of Istanbul,Male,34.0,Credit Card
I215998,C279370,Clothing,5,1500.4,26-10-2022,Cevahir AVM,Female,64.0,Cash
I338966,C907582,Clothing,5,1500.4,21-09-2022,Mall of Istanbul,Female,57.0,Cash
I293215,C166635,Cosmetics,4,162.64,12-12-2021,Istinye Park,Male,18.0,Credit Card
I149688,C276043,Clothing,4,1200.32,21-08-2021,Zorlu Center,Female,26.0,Cash
I109649,C282643,Food & Beverage,3,15.69,08-10-2021,Emaar Square Mall,Female,19.0,Debit Card
I299820,C820515,Books,3,45.45,22-11-2021,Kanyon,Female,22.0,Cash
I157775,C331761,Clothing,1,300.08,19-03-2022,Kanyon,Male,48.0,Cash
I317140,C326893,Souvenir,5,58.65,19-10-2022,Istinye Park,Female,56.0,Cash
I147334,C306395,Clothing,2,600.16,12-01-2022,Viaport Outlet,Male,35.0,Cash
I278121,C885344,Toys,4,143.36,07-06-2021,Metrocity,Female,60.0,Debit Card
I134452,C112750,Clothing,1,300.08,15-01-2023,Forum Istanbul,Female,32.0,Credit Card
I320846,C274870,Clothing,4,1200.32,11-11-2021,Kanyon,Male,27.0,Credit Card
I740676,C199864,Clothing,2,600.16,21-09-2022,Istinye Park,Female,56.0,Credit Card
I142331,C997380,Cosmetics,4,162.64,30-05-2021,Metrocity,Male,35.0,Debit Card
I222983,C132002,Clothing,1,300.08,23-12-2021,Metropol AVM,Female,68.0,Credit Card
I164665,C255058,Technology,2,2100.0,30-04-2022,Kanyon,Female,64.0,Cash
I133387,C271799,Toys,4,143.36,07-06-2021,Forum Istanbul,Female,60.0,Cash
I276763,C765620,Toys,5,179.2,21-02-2022,Kanyon,Male,64.0,Debit Card
I273890,C891545,Clothing,3,900.24,26-08-2021,Emaar Square Mall,Female,41.0,Debit Card
I774221,C519513,Food & Beverage,5,26.15,15-12-2021,Metrocity,Male,30.0,Cash
I202171,C125624,Clothing,1,300.08,20-02-2021,Mall of Istanbul,Male,40.0,Debit Card
I219780,C658980,Clothing,2,600.16,08-10-2021,Kanyon,Female,29.0,Cash
I160221,C319231,Clothing,3,900.24,01-08-2022,Mall of Istanbul,Male,25.0,Cash
I106691,C150594,Clothing,4,1200.32,09-09-2021,Kanyon,Female,60.0,Cash
I129886,C846730,Food & Beverage,5,26.15,25-10-2021,Metrocity,Female,42.0,Cash
I745394,C249877,Food & Beverage,1,5.23,14-12-2021,Metropol AVM,Male,54.0,Cash
I157056,C200826,Clothing,5,1500.4,20-06-2021,Kanyon,Female,50.0,Cash
I304531,C263874,Clothing,1,300.08,07-04-2021,Metropol AVM,Male,54.0,Debit Card
I762439,C663463,Books,4,60.6,05-12-2021,Metrocity,Female,45.0,Cash
I300972,C134370,Cosmetics,1,40.66,25-05-2021,Zorlu Center,Female,40.0,Credit Card
I151588,C310642,Books,3,45.45,12-04-2022,Metrocity,Male,24.0,Credit Card
I657069,C651699,Clothing,4,1200.32,16-12-2021,Mall of Istanbul,Male,40.0,Cash
I122655,C989693,Technology,2,2100.0,21-02-2021,Metropol AVM,Female,32.0,Credit Card
I236914,C123581,Clothing,3,900.24,26-10-2021,Mall of Istanbul,Female,28.0,Cash
I247471,C192446,Toys,1,35.84,18-12-2022,Mall of Istanbul,Female,22.0,Cash
I362306,C143343,Clothing,1,300.08,19-09-2022,Metrocity,Female,21.0,Credit Card
I215279,C223343,Clothing,2,600.16,01-02-2023,Kanyon,Female,31.0,Credit Card
I216061,C309082,Food & Beverage,3,15.69,05-10-2022,Mall of Istanbul,Female,61.0,Credit Card
I246375,C236365,Cosmetics,2,81.32,28-11-2021,Kanyon,Female,67.0,Cash
I103596,C178734,Shoes,5,3000.85,03-08-2021,Kanyon,Male,52.0,Cash
I259878,C223010,Clothing,4,1200.32,12-10-2022,Metropol AVM,Male,44.0,Credit Card
I206422,C289933,Food & Beverage,2,10.46,28-09-2022,Kanyon,Female,48.0,Credit Card
I201704,C340116,Food & Beverage,3,15.69,12-07-2021,Metrocity,Female,53.0,Cash
I168037,C816586,Toys,4,143.36,03-07-2021,Mall of Istanbul,Male,27.0,Cash
I307534,C434171,Cosmetics,4,162.64,26-03-2022,Viaport Outlet,Female,28.0,Cash
I259196,C215384,Toys,4,143.36,17-05-2022,Cevahir AVM,Female,43.0,Credit Card
I141241,C143442,Souvenir,5,58.65,11-04-2022,Kanyon,Male,54.0,Credit Card
I289973,C102926,Food & Beverage,5,26.15,22-10-2021,Kanyon,Male,41.0,Credit Card
I147203,C340063,Cosmetics,5,203.3,20-12-2021,Istinye Park,Female,59.0,Cash
I323788,C131786,Clothing,1,300.08,17-03-2022,Metropol AVM,Female,32.0,Credit Card
I285454,C194380,Souvenir,5,58.65,23-06-2022,Metropol AVM,Female,41.0,Credit Card
I288152,C269623,Technology,3,3150.0,19-06-2021,Mall of Istanbul,Female,30.0,Debit Card
I134126,C847171,Clothing,1,300.08,30-08-2022,Istinye Park,Male,22.0,Debit Card
I311052,C556552,Clothing,4,1200.32,20-11-2021,Cevahir AVM,Female,51.0,Cash
I176469,C876528,Food & Beverage,2,10.46,31-07-2021,Viaport Outlet,Female,23.0,Credit Card
I167993,C303493,Toys,2,71.68,20-02-2022,Kanyon,Male,40.0,Cash
I222086,C978718,Clothing,5,1500.4,09-02-2023,Emaar Square Mall,Male,37.0,Cash
I164597,C111766,Clothing,1,300.08,24-03-2021,Mall of Istanbul,Female,24.0,Cash
I184307,C175946,Food & Beverage,1,5.23,25-08-2022,Kanyon,Male,22.0,Credit Card
I289905,C160005,Cosmetics,4,162.64,21-10-2021,Kanyon,Female,61.0,Cash
I416544,C599109,Food & Beverage,2,10.46,28-05-2022,Metrocity,Female,25.0,Credit Card
I601026,C693789,Souvenir,5,58.65,05-03-2022,Zorlu Center,Female,66.0,Credit Card
I257890,C259342,Shoes,1,600.17,05-10-2021,Kanyon,Female,59.0,Cash
I260028,C208108,Clothing,4,1200.32,16-04-2021,Metropol AVM,Male,38.0,Cash
I170160,C244213,Toys,2,71.68,26-02-2023,Metrocity,Male,34.0,Debit Card
I624164,C102685,Clothing,1,300.08,20-03-2021,Kanyon,Female,26.0,Cash
I143353,C244291,Souvenir,5,58.65,15-05-2022,Metrocity,Female,59.0,Cash
I278401,C162371,Toys,1,35.84,31-01-2023,Mall of Istanbul,Female,53.0,Debit Card
I402966,C375422,Cosmetics,4,162.64,02-10-2021,Viaport Outlet,Male,23.0,Debit Card
I244241,C911768,Clothing,5,1500.4,03-08-2022,Viaport Outlet,Female,23.0,Credit Card
I179048,C270129,Technology,3,3150.0,28-03-2021,Cevahir AVM,Female,66.0,Debit Card
I165202,C617189,Cosmetics,4,162.64,21-11-2022,Mall of Istanbul,Female,56.0,Cash
I328321,C271029,Souvenir,2,23.46,12-02-2021,Metropol AVM,Female,38.0,Credit Card
I417106,C292356,Clothing,3,900.24,03-04-2021,Cevahir AVM,Male,28.0,Cash
I248153,C329633,Food & Beverage,1,5.23,03-07-2022,Metropol AVM,Female,44.0,Cash
I112270,C244780,Food & Beverage,4,20.92,14-02-2021,Mall of Istanbul,Female,26.0,Cash
I318831,C139568,Cosmetics,4,162.64,15-07-2022,Viaport Outlet,Female,41.0,Credit Card
I258322,C220281,Clothing,4,1200.32,12-07-2021,Viaport Outlet,Male,50.0,Cash
I334246,C311034,Cosmetics,3,121.98,19-05-2022,Mall of Istanbul,Female,23.0,Cash
I198233,C584141,Cosmetics,4,162.64,13-02-2023,Metropol AVM,Female,31.0,Cash
I310819,C221934,Cosmetics,5,203.3,27-11-2022,Forum Istanbul,Male,26.0,Credit Card
I409288,C513561,Food & Beverage,3,15.69,02-03-2021,Viaport Outlet,Female,56.0,Cash
I131054,C257990,Toys,4,143.36,16-10-2021,Kanyon,Female,34.0,Cash
I149521,C168348,Clothing,2,600.16,04-11-2021,Kanyon,Female,29.0,Cash
I156233,C161285,Clothing,1,300.08,11-01-2023,Mall of Istanbul,Female,20.0,Credit Card
I295784,C166191,Cosmetics,3,121.98,08-06-2022,Forum Istanbul,Female,54.0,Credit Card
I255381,C172966,Clothing,4,1200.32,24-05-2021,Metrocity,Male,40.0,Debit Card
I337719,C320928,Cosmetics,5,203.3,18-01-2021,Istinye Park,Male,40.0,Cash
I220863,C131497,Books,4,60.6,22-07-2021,Mall of Istanbul,Male,21.0,Cash
I530401,C526660,Technology,2,2100.0,25-09-2022,Zorlu Center,Female,32.0,Cash
I219555,C266961,Clothing,3,900.24,10-09-2021,Metrocity,Male,47.0,Credit Card
I316629,C204741,Souvenir,3,35.19,16-01-2022,Cevahir AVM,Female,41.0,Cash
I795251,C181619,Cosmetics,5,203.3,13-11-2022,Kanyon,Male,33.0,Cash
I151099,C250395,Souvenir,2,23.46,14-03-2021,Mall of Istanbul,Female,67.0,Credit Card
I286193,C322994,Cosmetics,3,121.98,23-07-2022,Istinye Park,Male,37.0,Cash
I399563,C250673,Toys,1,35.84,24-06-2021,Metropol AVM,Female,38.0,Cash
I229355,C192978,Shoes,5,3000.85,30-01-2021,Kanyon,Male,28.0,Credit Card
I147727,C163033,Books,1,15.15,17-04-2022,Kanyon,Female,38.0,Credit Card
I504141,C558480,Cosmetics,1,40.66,23-02-2023,Kanyon,Female,56.0,Credit Card
I246151,C287409,Books,3,45.45,05-07-2021,Metropol AVM,Male,25.0,Debit Card
I164675,C993675,Books,5,75.75,31-08-2021,Kanyon,Male,66.0,Cash
I606511,C307535,Souvenir,2,23.46,09-09-2022,Viaport Outlet,Female,37.0,Credit Card
I342816,C238961,Food & Beverage,2,10.46,04-11-2021,Mall of Istanbul,Female,19.0,Cash
I151764,C671866,Clothing,5,1500.4,30-06-2022,Kanyon,Female,53.0,Cash
I226172,C171154,Shoes,1,600.17,24-07-2021,Kanyon,Female,69.0,Cash
I737630,C848969,Clothing,5,1500.4,15-04-2022,Metropol AVM,Male,69.0,Cash
I891311,C240171,Food & Beverage,2,10.46,25-09-2021,Metropol AVM,Female,31.0,Debit Card
I127733,C665777,Books,5,75.75,24-08-2021,Kanyon,Male,39.0,Cash
I202398,C256730,Shoes,5,3000.85,26-01-2021,Zorlu Center,Male,53.0,Cash
I160585,C298229,Cosmetics,2,81.32,05-02-2022,Metropol AVM,Male,26.0,Cash
I771414,C183404,Food & Beverage,3,15.69,09-12-2022,Forum Istanbul,Male,63.0,Cash
I139520,C316398,Clothing,5,1500.4,14-02-2021,Mall of Istanbul,Female,34.0,Cash
I291540,C557245,Food & Beverage,1,5.23,17-07-2022,Kanyon,Male,25.0,Debit Card
I798213,C662958,Shoes,3,1800.51,03-01-2021,Metropol AVM,Female,20.0,Cash
I232338,C545065,Clothing,4,1200.32,22-09-2022,Metropol AVM,Female,18.0,Debit Card
I267713,C284679,Cosmetics,4,162.64,27-06-2021,Kanyon,Male,53.0,Credit Card
I525798,C581947,Cosmetics,4,162.64,03-02-2023,Mall of Istanbul,Male,46.0,Cash
I353272,C199311,Clothing,1,300.08,29-07-2021,Istinye Park,Female,34.0,Credit Card
I165687,C206501,Clothing,3,900.24,08-12-2022,Metropol AVM,Female,61.0,Cash
I169015,C726021,Clothing,5,1500.4,11-08-2022,Mall of Istanbul,Female,38.0,Credit Card
I111305,C448846,Food & Beverage,3,15.69,13-09-2021,Metropol AVM,Female,67.0,Cash
I187171,C168663,Toys,4,143.36,27-05-2022,Istinye Park,Male,33.0,Credit Card
I148276,C616106,Clothing,4,1200.32,07-12-2022,Zorlu Center,Female,63.0,Debit Card
I783231,C771066,Clothing,5,1500.4,05-01-2022,Cevahir AVM,Female,21.0,Debit Card
I313426,C101196,Cosmetics,4,162.64,05-04-2022,Kanyon,Female,41.0,Debit Card
I112291,C898405,Food & Beverage,1,5.23,10-01-2022,Cevahir AVM,Female,48.0,Credit Card
I402983,C372643,Technology,1,1050.0,30-01-2022,Kanyon,Male,27.0,Debit Card
I155076,C195626,Toys,5,179.2,21-12-2022,Kanyon,Female,22.0,Credit Card
I204056,C622748,Clothing,4,1200.32,24-02-2021,Metropol AVM,Female,54.0,Credit Card
I218385,C290280,Toys,1,35.84,19-07-2022,Metrocity,Female,51.0,Cash
I198698,C281268,Clothing,1,300.08,15-01-2023,Metropol AVM,Female,29.0,Debit Card
I428118,C826744,Shoes,2,1200.34,12-01-2023,Kanyon,Female,44.0,Credit Card
I204147,C252021,Shoes,3,1800.51,05-11-2022,Kanyon,Female,20.0,Credit Card
I361028,C647656,Shoes,2,1200.34,23-07-2021,Metrocity,Female,59.0,Cash
I915945,C250065,Clothing,4,1200.32,30-06-2022,Metropol AVM,Female,23.0,Credit Card
I165461,C230766,Clothing,1,300.08,01-11-2022,Emaar Square Mall,Female,25.0,Credit Card
I762381,C243515,Shoes,1,600.17,27-10-2022,Kanyon,Male,63.0,Cash
I818298,C204632,Clothing,5,1500.4,21-08-2022,Kanyon,Male,21.0,Debit Card
I261290,C252598,Clothing,3,900.24,13-03-2021,Cevahir AVM,Female,56.0,Credit Card
I215578,C866033,Cosmetics,2,81.32,04-08-2022,Kanyon,Male,39.0,Credit Card
I136666,C288416,Food & Beverage,2,10.46,01-04-2021,Mall of Istanbul,Male,50.0,Credit Card
I120948,C340089,Shoes,4,2400.68,08-08-2021,Mall of Istanbul,Female,54.0,Debit Card
I173679,C555040,Technology,3,3150.0,28-06-2021,Viaport Outlet,Male,27.0,Credit Card
I638275,C809281,Clothing,5,1500.4,25-01-2021,Emaar Square Mall,Male,56.0,Credit Card
I551237,C375325,Clothing,4,1200.32,22-11-2021,Metropol AVM,Female,53.0,Cash
I239285,C155335,Cosmetics,3,121.98,13-11-2022,Viaport Outlet,Female,62.0,Credit Card
I723062,C225051,Clothing,4,1200.32,12-08-2022,Kanyon,Female,42.0,Credit Card
I353329,C635016,Toys,2,71.68,18-09-2022,Metrocity,Female,68.0,Credit Card
I321920,C165705,Clothing,4,1200.32,08-06-2021,Mall of Istanbul,Male,27.0,Cash
I176115,C709571,Cosmetics,4,162.64,30-08-2021,Viaport Outlet,Male,39.0,Cash
I251743,C851508,Toys,3,107.52,19-06-2022,Kanyon,Male,44.0,Debit Card
I964173,C184126,Clothing,3,900.24,15-12-2022,Emaar Square Mall,Female,52.0,Debit Card
I334389,C233642,Cosmetics,2,81.32,29-12-2021,Mall of Istanbul,Female,19.0,Cash
I251855,C258410,Cosmetics,3,121.98,19-06-2022,Cevahir AVM,Female,68.0,Credit Card
I985808,C270667,Books,5,75.75,16-06-2021,Emaar Square Mall,Male,22.0,Cash
I224565,C321527,Shoes,1,600.17,07-02-2021,Emaar Square Mall,Male,61.0,Cash
I239703,C109489,Food & Beverage,3,15.69,17-01-2023,Kanyon,Male,23.0,Credit Card
I156413,C103824,Cosmetics,5,203.3,20-01-2022,Metrocity,Male,34.0,Debit Card
I158683,C126571,Souvenir,2,23.46,31-07-2022,Metrocity,Female,33.0,Debit Card
I983860,C169676,Shoes,1,600.17,30-09-2021,Metropol AVM,Female,60.0,Credit Card
I119809,C321889,Food & Beverage,1,5.23,06-04-2022,Zorlu Center,Female,24.0,Debit Card
I319942,C212128,Cosmetics,5,203.3,14-11-2022,Mall of Istanbul,Male,53.0,Debit Card
I133278,C301271,Clothing,3,900.24,24-02-2021,Metrocity,Male,22.0,Credit Card
I252084,C221995,Souvenir,4,46.92,25-05-2021,Metrocity,Male,50.0,Cash
I182889,C318802,Clothing,2,600.16,22-03-2021,Metrocity,Male,49.0,Credit Card
I106271,C263812,Clothing,1,300.08,22-12-2022,Mall of Istanbul,Male,31.0,Debit Card
I112481,C321609,Food & Beverage,5,26.15,07-07-2021,Cevahir AVM,Male,29.0,Cash
I240751,C666013,Food & Beverage,1,5.23,18-09-2021,Kanyon,Female,52.0,Credit Card
I282789,C172185,Cosmetics,2,81.32,18-02-2022,Istinye Park,Female,67.0,Cash
I676291,C150463,Food & Beverage,2,10.46,13-06-2021,Metropol AVM,Female,50.0,Cash
I827069,C274529,Toys,5,179.2,30-05-2021,Mall of Istanbul,Female,58.0,Cash
I242823,C242659,Clothing,4,1200.32,26-03-2021,Metropol AVM,Female,50.0,Debit Card
I208631,C194451,Technology,2,2100.0,27-07-2022,Kanyon,Female,68.0,Credit Card
I139308,C252600,Souvenir,2,23.46,06-04-2022,Emaar Square Mall,Female,59.0,Credit Card
I177201,C309645,Clothing,5,1500.4,04-02-2022,Forum Istanbul,Female,66.0,Cash
I263818,C336232,Souvenir,4,46.92,26-06-2022,Zorlu Center,Male,69.0,Cash
I174966,C325906,Food & Beverage,5,26.15,25-07-2022,Mall of Istanbul,Male,27.0,Cash
I186896,C138755,Toys,1,35.84,19-09-2021,Zorlu Center,Female,52.0,Credit Card
I207465,C296745,Clothing,2,600.16,10-10-2022,Istinye Park,Female,27.0,Cash
I191148,C221838,Technology,2,2100.0,29-03-2022,Forum Istanbul,Female,43.0,Credit Card
I159487,C104985,Clothing,1,300.08,09-07-2021,Emaar Square Mall,Male,36.0,Cash
I215141,C826514,Souvenir,1,11.73,25-01-2022,Kanyon,Female,19.0,Cash
I235828,C267333,Books,5,75.75,14-12-2021,Metrocity,Male,21.0,Cash
I281274,C130479,Clothing,1,300.08,04-09-2022,Kanyon,Male,20.0,Cash
I135898,C310108,Toys,2,71.68,14-08-2022,Metropol AVM,Female,23.0,Debit Card
I943072,C358486,Cosmetics,2,81.32,03-02-2022,Metrocity,Female,52.0,Cash
I142738,C208738,Clothing,4,1200.32,03-01-2021,Kanyon,Male,24.0,Credit Card
I304665,C111056,Food & Beverage,5,26.15,05-12-2021,Metropol AVM,Female,20.0,Credit Card
I133240,C999586,Toys,3,107.52,14-06-2022,Zorlu Center,Male,58.0,Credit Card
I215906,C296862,Clothing,4,1200.32,13-08-2021,Mall of Istanbul,Male,21.0,Debit Card
I247747,C101550,Shoes,2,1200.34,11-01-2022,Istinye Park,Male,35.0,Cash
